player,position,season,Team,TOI_all,TOI_EV,TOI_PP,TOI_SH,EV_GAR,PP_GAR,SH_GAR,Pens_GAR,GAR,WAR
JAKE.GARDINER,2,20172018,TOR,1845,1595,169,30,6.7,2.6,0.3,1.5,11.1,2.0
JAKUB.VORACEK,1,20152016,PHI,1357,1066,251,1,6.1,2.9,0.0,1.0,10.0,2.0
JAMIE.BENN,1,20092010,DAL,1188,1013,157,4,7.8,0.0,0.0,2.6,10.4,2.0
JAN.HEJDA,2,20072008,CBJ,1683,1338,12,299,8.2,0.1,2.8,-0.8,10.3,2.0
JAROMIR.JAGR,1,20112012,PHI,1192,934,236,1,4.6,4.6,0.0,0.9,10.2,2.0
JARRET.STOLL,1,20092010,L.A,1270,889,215,135,9.1,2.6,0.0,-1.2,10.4,2.0
JASON.BLAKE,1,20072008,TOR,1459,1146,235,8,6.8,0.0,0.0,3.8,10.6,2.0
JASON.GARRISON,2,20122013,VAN,1020,792,108,107,8.3,1.9,0.8,-1.0,10.0,2.0
JASON.GARRISON,2,20142015,T.B,1401,1093,116,146,7.0,1.8,0.0,1.1,10.0,2.0
JEFF.CARTER,1,20122013,L.A,844,641,126,58,6.0,2.7,0.7,0.6,10.0,2.0
JEFF.FINGER,2,20072008,COL,1437,1174,74,166,8.1,0.0,0.0,2.2,10.3,2.0
JOFFREY.LUPUL,1,20112012,TOR,1228,989,213,1,7.1,2.2,0.0,1.1,10.4,2.0
JOHNNY.BOYCHUK,2,20142015,NYI,1561,1181,185,143,5.2,2.7,0.2,2.0,9.9,2.0
JONAS.BRODIN,2,20142015,MIN,1711,1453,68,153,7.7,0.3,0.3,2.0,10.3,2.0
JORDAN.STAAL,1,20162017,CAR,1400,1073,166,115,6.9,1.3,1.3,0.9,10.5,2.0
JUSSI.JOKINEN,1,20102011,CAR,1186,868,237,58,7.3,0.3,0.3,2.6,10.5,2.0
JUSTIN.WILLIAMS,1,20152016,WSH,1366,1092,163,79,8.1,1.8,1.0,-0.8,10.1,2.0
KRIS.LETANG,2,20102011,PIT,1971,1403,362,171,5.3,2.7,0.5,1.9,10.4,2.0
KRIS.LETANG,2,20172018,PIT,2001,1502,245,202,0.8,6.1,3.3,0.8,11.0,2.0
KYLE.QUINCEY,2,20082009,L.A,1505,1151,245,86,6.6,3.7,0.6,0.0,11.0,2.0
LOGAN.COUTURE,1,20102011,S.J,1408,1134,171,84,7.4,1.8,0.1,1.2,10.4,2.0
MARIAN.HOSSA,1,20092010,CHI,1067,816,152,82,8.1,0.0,1.3,1.2,10.5,2.0
MATT.DUCHENE,1,20142015,COL,1508,1268,179,12,6.8,0.0,0.0,3.4,10.2,2.0
MATTIAS.JANMARK,1,20152016,DAL,1035,939,45,32,10.7,0.0,0.0,-0.3,10.3,2.0
MIKAEL.GRANLUND,1,20142015,MIN,1212,1013,142,26,9.3,0.0,0.0,0.8,10.1,2.0
MIKE.CAMMALLERI,1,20152016,N.J,809,647,121,8,9.8,0.3,0.0,-0.1,10.1,2.0
MIKE.FISHER,1,20132014,NSH,1481,1131,198,111,9.9,2.8,0.0,-2.5,10.2,2.0
MIKE.SANTORELLI,1,20142015,TOR,845,776,28,36,7.5,1.2,0.0,1.3,10.1,2.0
MIKHAIL.GRABOVSKI,1,20092010,TOR,991,818,149,5,6.0,0.0,0.0,4.5,10.5,2.0
NIKOLAJ.EHLERS,1,20162017,WPG,1433,1170,208,1,5.7,0.0,0.0,4.9,10.5,2.0
PATRIC.HORNQVIST,1,20172018,PIT,1213,931,247,2,3.4,7.6,0.0,0.1,11.1,2.0
PHIL.KESSEL,1,20152016,PIT,1501,1187,280,1,6.0,3.1,0.0,1.3,10.4,2.0
REILLY.SMITH,1,20142015,BOS,1245,1086,145,1,8.6,0.2,0.0,1.2,10.0,2.0
RICK.NASH,1,20092010,CBJ,1571,1126,236,170,4.6,3.3,0.4,2.4,10.8,2.0
ROMAN.HAMRLIK,2,20112012,WSH,1302,1154,29,117,10.6,0.0,0.8,-1.1,10.3,2.0
ROMAN.JOSI,2,20152016,NSH,2053,1539,247,207,3.7,4.2,1.0,1.5,10.4,2.0
RUSLAN.FEDOTENKO,1,20082009,PIT,916,807,93,1,11.2,0.0,0.0,-0.5,10.7,2.0
RYAN.GETZLAF,1,20172018,ANA,1200,937,152,58,11.4,1.9,0.1,-2.4,11.1,2.0
RYAN.KESLER,1,20072008,VAN,1524,1037,162,251,3.8,2.7,0.0,4.1,10.6,2.0
RYAN.O'REILLY,1,20172018,BUF,1686,1203,279,124,6.5,1.8,0.0,3.2,11.5,2.0
RYAN.SMYTH,1,20092010,L.A,1317,984,254,42,6.5,3.3,0.1,0.9,10.8,2.0
RYAN.SMYTH,1,20102011,L.A,1470,1187,238,26,7.5,1.4,0.2,1.2,10.3,2.0
SEAN.COUTURIER,1,20162017,PHI,1214,961,119,120,10.8,0.0,0.4,-1.1,10.2,2.0
SLAVA.VOYNOV,2,20112012,L.A,1001,858,134,5,8.3,1.0,0.0,0.9,10.2,2.0
STEPHANE.ROBIDAS,2,20092010,DAL,1976,1435,256,243,8.5,2.0,2.0,-2.0,10.4,2.0
T.J..OSHIE,1,20102011,STL,940,702,127,92,4.5,1.3,1.0,3.5,10.3,2.0
T.J..OSHIE,1,20172018,WSH,1363,1016,246,55,6.0,3.6,0.0,1.5,11.1,2.0
TAYLOR.HALL,1,20152016,EDM,1573,1286,226,4,10.9,0.0,0.0,-0.6,10.4,2.0
TEEMU.SELANNE,1,20112012,ANA,1464,1137,285,3,2.9,3.9,0.0,3.3,10.1,2.0
TJ.BRODIE,2,20142015,CGY,2042,1640,175,166,6.7,0.1,0.0,3.3,10.1,2.0
TOBIAS.ENSTROM,2,20112012,WPG,1477,1167,196,74,8.8,1.6,0.0,-0.1,10.4,2.0
TOMAS.HERTL,1,20172018,S.J,1430,1062,193,116,3.3,6.2,0.6,0.8,10.9,2.0
TRAVIS.ZAJAC,1,20152016,N.J,1469,1036,181,198,2.9,3.6,2.1,1.5,10.1,2.0
TREVOR.VAN RIEMSDYK,2,20162017,CHI,1060,976,32,50,9.9,0.3,0.0,0.4,10.6,2.0
TROY.BROUWER,1,20132014,WSH,1544,1070,278,172,2.0,8.4,0.0,-0.3,10.1,2.0
TYLER.BOZAK,1,20162017,TOR,1282,1069,183,3,6.5,3.9,0.0,0.0,10.4,2.0
TYLER.ENNIS,1,20102011,BUF,1285,1085,183,3,6.1,2.9,0.0,1.3,10.3,2.0
VICTOR.HEDMAN,2,20102011,T.B,1660,1351,130,158,10.2,0.0,1.7,-1.6,10.3,2.0
VICTOR.HEDMAN,2,20172018,T.B,1991,1475,255,195,9.4,2.0,0.8,-0.9,11.3,2.0
VINCENT.TROCHECK,1,20152016,FLA,1348,1057,200,56,8.2,0.3,0.3,1.3,10.1,2.0
WAYNE.SIMMONDS,1,20142015,PHI,1253,982,235,1,6.0,3.5,0.0,0.7,10.2,2.0
ZBYNEK.MICHALEK,2,20072008,ARI,1620,1368,38,194,8.8,0.0,0.8,1.0,10.5,2.0
ZBYNEK.MICHALEK,2,20082009,ARI,1843,1511,53,242,4.4,1.2,1.8,3.2,10.6,2.0
ALES.HEMSKY,1,20082009,EDM,1339,998,299,6,3.9,2.4,0.0,3.9,10.3,1.9
ALEX.GOLIGOSKI,2,20092010,PIT,1457,1082,258,103,5.0,2.0,0.7,2.2,10.0,1.9
ANDERS.LEE,1,20162017,NYI,1263,1042,193,1,8.8,2.2,0.0,-1.1,9.9,1.9
ANDREW.EBBETT,1,20082009,ANA,664,562,85,5,6.7,2.8,0.0,0.7,10.1,1.9
ANDY.GREENE,2,20122013,N.J,1104,869,92,119,7.0,0.4,1.1,1.1,9.6,1.9
ANDY.MCDONALD,1,20102011,STL,1162,892,192,53,7.9,1.3,1.5,-0.9,9.8,1.9
ANZE.KOPITAR,1,20092010,L.A,1783,1293,307,128,3.0,4.6,0.0,2.3,9.9,1.9
ARTEM.ANISIMOV,1,20102011,NYR,1328,1064,143,84,5.0,1.4,1.4,1.9,9.7,1.9
ARTEM.ANISIMOV,1,20132014,CBJ,1336,979,160,169,7.2,0.9,0.0,1.4,9.5,1.9
BRENDEN.MORROW,1,20102011,DAL,1572,1167,306,60,6.2,2.8,0.2,0.6,9.8,1.9
BRIAN.BOYLE,1,20162017,T.B,740,584,84,57,9.2,0.9,0.0,0.0,10.1,1.9
BRIAN.CAMPBELL,2,20082009,CHI,1851,1417,359,28,6.1,1.9,0.0,2.5,10.5,1.9
CALLE.JARNKROK,1,20162017,NSH,1268,1030,66,141,8.1,0.5,0.0,1.5,10.2,1.9
CHRIS.TANEV,2,20172018,VAN,831,679,8,129,8.3,0.1,1.7,0.8,10.9,1.9
CODY.FRANSON,2,20142015,TOR,1176,875,166,110,5.8,2.3,1.5,-0.2,9.5,1.9
DANY.HEATLEY,1,20092010,S.J,1641,1271,272,69,7.5,3.5,0.0,-0.9,10.1,1.9
DAVID.BOOTH,1,20102011,FLA,1550,1271,231,11,2.2,2.9,0.0,5.1,10.2,1.9
DAVID.MOSS,1,20102011,CGY,794,606,85,91,7.4,1.3,1.1,0.3,10.2,1.9
DAVID.PERRON,1,20132014,EDM,1486,1196,214,35,9.4,0.0,0.1,0.1,9.5,1.9
DEREK.STEPAN,1,20102011,NYR,1348,1087,188,36,7.6,0.0,0.6,1.7,9.9,1.9
DERICK.BRASSARD,1,20082009,CBJ,446,335,101,2,8.6,0.7,0.0,1.0,10.3,1.9
DERICK.BRASSARD,1,20142015,NYR,1389,1125,217,18,5.2,3.3,0.0,1.2,9.8,1.9
DMITRY.ORLOV,2,20152016,WSH,1314,1246,42,11,7.2,0.0,0.0,2.4,9.6,1.9
DREW.STAFFORD,1,20082009,BUF,1231,997,205,2,7.0,1.1,0.0,2.4,10.5,1.9
DUNCAN.KEITH,2,20102011,CHI,2200,1705,239,212,1.7,5.3,0.5,2.1,9.7,1.9
DUNCAN.KEITH,2,20112012,CHI,1990,1546,233,167,6.1,1.7,0.8,1.2,9.8,1.9
ERIK.CONDRA,1,20142015,OTT,975,813,7,151,6.0,0.0,1.1,2.3,9.4,1.9
ERIK.KARLSSON,2,20132014,OTT,2217,1723,328,123,1.7,3.1,1.6,3.3,9.8,1.9
EVANDER.KANE,1,20102011,ATL,1304,1056,168,61,6.0,0.0,0.0,4.0,10.0,1.9
EVGENI.MALKIN,1,20172018,PIT,1481,1146,286,3,8.6,2.3,0.0,-0.5,10.4,1.9
FRANS.NIELSEN,1,20082009,NYI,974,650,187,106,4.0,2.8,1.0,2.7,10.6,1.9
FRANS.NIELSEN,1,20152016,NYI,1435,1023,218,155,5.8,1.2,1.0,1.7,9.7,1.9
GUILLAUME.LATENDRESSE,1,20092010,MIN,905,768,116,1,7.2,2.0,0.0,0.8,10.0,1.9
HAMPUS.LINDHOLM,2,20152016,ANA,1760,1402,160,170,5.9,1.7,0.8,1.2,9.6,1.9
HAMPUS.LINDHOLM,2,20162017,ANA,1470,1169,121,159,8.9,0.0,0.7,0.5,10.1,1.9
JACCOB.SLAVIN,2,20172018,CAR,1852,1550,49,211,8.2,0.0,0.0,2.6,10.9,1.9
JACK.JOHNSON,2,20162017,CBJ,1790,1533,20,195,7.7,0.1,0.0,1.9,9.8,1.9
JAKUB.VORACEK,1,20092010,CBJ,1251,1030,191,11,6.5,1.6,0.0,2.1,10.2,1.9
JAMES.VAN RIEMSDYK,1,20172018,TOR,1206,983,183,1,8.4,3.7,0.0,-1.4,10.8,1.9
JANNIK.HANSEN,1,20122013,VAN,825,633,78,101,5.8,2.8,0.0,0.8,9.5,1.9
JASON.ARNOTT,1,20082009,NSH,1229,911,279,11,11.2,0.0,0.0,-0.7,10.4,1.9
JASON.POMINVILLE,1,20082009,BUF,1617,1054,318,192,2.2,5.4,1.9,0.8,10.2,1.9
JEFF.PETRY,2,20162017,MTL,1769,1464,139,142,5.8,0.8,2.2,1.0,9.8,1.9
JEFF.SCHULTZ,2,20072008,WSH,1302,1049,13,226,6.5,0.1,2.9,0.3,9.7,1.9
JIRI.TLUSTY,1,20132014,CAR,1032,872,103,38,7.6,0.0,1.0,0.8,9.5,1.9
JOHN.TAVARES,1,20152016,NYI,1560,1270,243,2,3.0,3.3,0.0,3.4,9.8,1.9
JORI.LEHTERA,1,20152016,STL,1270,1037,146,63,10.4,0.0,0.7,-1.3,9.7,1.9
JOSH.MORRISSEY,2,20172018,WPG,1657,1409,26,193,9.3,0.0,1.6,-0.5,10.4,1.9
JUSTIN.SCHULTZ,2,20172018,PIT,1229,1054,144,7,8.5,1.4,0.0,0.7,10.5,1.9
KEITH.YANDLE,2,20102011,ARI,1996,1577,332,60,3.7,2.8,0.0,3.6,10.1,1.9
KIM.JOHNSSON,2,20092010,MIN,1236,929,154,129,5.5,0.3,3.2,0.9,9.8,1.9
KIMMO.TIMONEN,2,20112012,PHI,1614,1035,287,261,6.2,3.2,0.0,0.5,9.9,1.9
KYLE.BRODZIAK,1,20092010,MIN,1253,1030,22,179,6.9,0.2,2.0,1.1,10.2,1.9
KYLE.OKPOSO,1,20092010,NYI,1621,1092,337,143,2.6,1.7,2.9,2.9,10.1,1.9
LOGAN.COUTURE,1,20152016,S.J,902,649,187,38,7.6,1.2,0.8,0.3,9.9,1.9
LOUI.ERIKSSON,1,20142015,BOS,1493,1140,192,127,5.1,1.9,0.8,1.9,9.7,1.9
MARC.METHOT,2,20142015,OTT,1018,915,8,79,9.3,0.1,0.0,0.4,9.8,1.9
MARCUS.JOHANSSON,1,20142015,WSH,1351,1068,237,3,4.3,2.3,0.0,3.3,9.9,1.9
MARIAN.GABORIK,1,20112012,NYR,1600,1266,292,7,6.1,2.2,0.0,1.5,9.7,1.9
MARK.FRASER,2,20122013,TOR,762,665,2,92,10.4,0.0,0.0,-1.0,9.5,1.9
MARK.GIORDANO,2,20152016,CGY,2033,1533,257,191,4.9,4.1,0.0,0.5,9.5,1.9
MARTIN.ERAT,1,20112012,NSH,1312,1043,166,67,4.0,2.9,0.8,1.8,9.5,1.9
MATHIEU.PERREAULT,1,20152016,WPG,1175,940,202,3,5.5,3.2,0.0,1.1,9.8,1.9
MATT.CULLEN,1,20142015,NSH,807,713,30,50,7.0,2.6,0.0,-0.1,9.6,1.9
MATT.STAJAN,1,20082009,TOR,1266,938,173,121,6.8,1.8,1.3,0.3,10.2,1.9
MICHAEL.RAFFL,1,20142015,PHI,951,849,28,62,8.4,0.6,0.6,-0.1,9.4,1.9
MICHAEL.RYDER,1,20112012,DAL,1425,1178,215,2,10.6,0.0,0.0,-0.8,9.8,1.9
MICHAEL.SAUER,2,20102011,NYR,1329,1189,11,109,9.2,0.1,0.0,0.6,9.8,1.9
MIKA.ZIBANEJAD,1,20172018,NYR,1294,960,213,82,5.0,2.0,1.2,2.4,10.6,1.9
MIKE.RICHARDS,1,20102011,PHI,1527,1086,238,170,5.5,3.1,0.0,1.3,9.9,1.9
MIKHAIL.GRABOVSKI,1,20112012,TOR,1303,1103,152,21,8.8,0.1,0.0,0.9,9.8,1.9
MIKKO.KOIVU,1,20092010,MIN,1659,1160,273,166,8.4,2.6,0.0,-0.8,10.2,1.9
NATHAN.MACKINNON,1,20162017,COL,1635,1184,219,134,5.2,2.1,0.0,2.6,9.9,1.9
NICK.SCHULTZ,2,20072008,MIN,1604,1273,10,259,5.9,0.1,1.8,2.3,10.0,1.9
NICKLAS.BACKSTROM,1,20162017,WSH,1486,1149,249,57,5.8,5.1,0.2,-1.2,9.9,1.9
NIKOLAY.KULEMIN,1,20152016,NYI,1139,955,3,161,7.0,0.0,2.6,0.1,9.7,1.9
OWEN.NOLAN,1,20082009,MIN,967,765,184,5,6.2,2.7,0.0,1.2,10.2,1.9
PASCAL.DUPUIS,1,20122013,PIT,839,698,38,92,10.3,0.0,0.0,-0.6,9.8,1.9
PATRICE.BERGERON,1,20092010,BOS,1378,1007,189,141,8.9,0.5,0.0,0.8,10.2,1.9
PATRICE.BERGERON,1,20102011,BOS,1431,1019,216,161,8.1,2.1,0.0,-0.4,9.7,1.9
PATRICK.KANE,1,20112012,CHI,1656,1339,282,6,6.8,0.0,0.0,2.9,9.7,1.9
PATRICK.MARLEAU,1,20082009,S.J,1616,1106,292,190,5.9,1.3,0.0,3.0,10.1,1.9
PATRIK.LAINE,1,20162017,WPG,1308,1067,193,1,9.9,0.0,0.0,0.2,10.1,1.9
PAUL.RANGER,2,20072008,T.B,1814,1429,94,246,7.4,0.9,1.9,0.0,10.1,1.9
PETR.SYKORA,1,20072008,PIT,1363,1012,304,2,4.2,7.3,0.0,-1.8,9.7,1.9
PIERRE-LUC.DUBOIS,1,20172018,CBJ,1364,1171,158,13,3.9,5.2,0.0,1.5,10.6,1.9
R.J..UMBERGER,1,20102011,CBJ,1575,1114,266,160,7.1,0.0,0.0,2.9,10.0,1.9
RADEK.FAKSA,1,20172018,DAL,1206,1011,17,157,9.7,0.1,0.0,0.8,10.6,1.9
ROMAN.JOSI,2,20172018,NSH,1835,1348,209,226,7.7,0.8,0.0,2.3,10.9,1.9
ROMAN.POLAK,2,20092010,STL,1558,1301,9,217,8.7,0.1,1.2,-0.1,9.8,1.9
RON.HAINSEY,2,20072008,CBJ,1730,1231,343,115,2.8,2.2,2.2,2.4,9.6,1.9
ROSTISLAV.OLESZ,1,20072008,FLA,956,670,144,124,2.9,4.6,1.4,1.1,10.0,1.9
RYAN.GETZLAF,1,20152016,ANA,1502,1131,219,110,7.8,1.6,0.5,-0.3,9.6,1.9
RYAN.MCDONAGH,2,20142015,NYR,1642,1262,163,182,7.4,0.3,0.7,1.4,9.8,1.9
RYANE.CLOWE,1,20082009,S.J,1259,1002,216,24,3.8,2.6,0.0,3.8,10.1,1.9
SAMI.VATANEN,2,20152016,ANA,1513,1126,203,152,3.5,2.7,2.1,1.4,9.7,1.9
SEAN.COUTURIER,1,20142015,PHI,1508,1159,128,188,5.7,1.5,0.0,2.4,9.6,1.9
SERGEI.GONCHAR,2,20092010,PIT,1485,976,309,175,1.8,7.8,1.5,-0.9,10.3,1.9
SHEA.WEBER,2,20152016,NSH,1979,1462,238,211,3.3,4.6,0.0,1.6,9.5,1.9
STEPHEN.WEISS,1,20112012,FLA,1641,1250,262,100,6.7,2.0,0.0,0.8,9.5,1.9
STEVE.BERNIER,1,20142015,N.J,867,755,85,0,5.6,2.1,0.0,1.9,9.5,1.9
STEVE.EMINGER,2,20082009,T.B,1173,879,114,152,7.6,2.1,0.9,-0.1,10.5,1.9
TIM.CONNOLLY,1,20072008,BUF,896,588,190,101,1.6,4.4,1.3,2.6,10.0,1.9
TOBIAS.ENSTROM,2,20142015,WPG,1414,1097,181,110,9.5,0.0,0.0,0.0,9.5,1.9
TRAVIS.HAMONIC,2,20112012,NYI,1637,1366,76,167,7.2,2.1,0.4,0.2,9.8,1.9
TUOMO.RUUTU,1,20102011,CAR,1363,1080,251,6,5.9,2.1,0.0,1.8,9.8,1.9
TYLER.SEGUIN,1,20142015,DAL,1388,1065,272,4,4.5,3.4,0.0,1.5,9.5,1.9
WAYNE.SIMMONDS,1,20152016,PHI,1396,1063,290,1,7.3,1.9,0.0,0.6,9.8,1.9
ZACH.BOGOSIAN,2,20082009,ATL,851,720,53,70,6.8,2.2,0.3,1.1,10.5,1.9
ZACH.PARISE,1,20132014,MIN,1363,1036,222,69,6.4,2.5,0.0,0.7,9.6,1.9
ZDENO.CHARA,2,20152016,BOS,1928,1497,124,264,8.2,1.7,0.0,-0.3,9.5,1.9
ALEC.MARTINEZ,2,20132014,L.A,956,804,121,26,7.9,0.5,0.0,0.7,9.0,1.8
ALEX.STEEN,1,20172018,STL,1421,1058,222,90,6.0,1.6,1.0,1.7,10.3,1.8
ANDREI.MARKOV,2,20162017,MTL,1354,1066,159,103,7.8,0.0,0.0,1.7,9.5,1.8
ANDREJ.MESZAROS,2,20072008,OTT,1718,1304,217,171,4.0,4.5,0.0,1.0,9.4,1.8
BOBBY.RYAN,1,20112012,ANA,1503,1233,170,57,6.2,0.0,0.0,3.0,9.2,1.8
BRAD.RICHARDS,1,20102011,DAL,1564,1124,382,25,7.5,1.3,0.0,0.6,9.5,1.8
BRAYDEN.SCHENN,1,20152016,PHI,1352,1042,279,0,3.6,3.4,0.0,2.0,9.0,1.8
BRIAN.RAFALSKI,2,20082009,DET,1778,1369,284,91,0.8,5.3,1.0,2.8,9.9,1.8
BROCK.NELSON,1,20142015,NYI,1301,971,215,74,4.6,2.1,0.0,2.8,9.4,1.8
CHRIS.TANEV,2,20152016,VAN,1501,1188,92,189,5.4,1.4,0.0,2.4,9.2,1.8
CHRISTIAN.EHRHOFF,2,20082009,S.J,1631,1249,227,132,0.2,7.4,0.0,2.0,9.6,1.8
CLAUDE.GIROUX,1,20122013,PHI,1015,728,175,79,2.8,3.1,1.1,2.1,9.1,1.8
COLTON.PARAYKO,2,20162017,STL,1709,1381,141,171,6.9,0.6,0.2,1.5,9.2,1.8
COREY.PERRY,1,20072008,ANA,1257,955,233,7,9.5,0.0,0.0,-0.1,9.4,1.8
COREY.PERRY,1,20112012,ANA,1706,1270,277,101,4.5,3.1,1.1,0.5,9.2,1.8
CURTIS.GLENCROSS,1,20112012,CGY,1207,901,133,143,4.9,3.6,1.7,-1.3,9.0,1.8
DANIEL.BRIERE,1,20112012,PHI,1215,965,223,3,5.5,3.0,0.0,0.8,9.4,1.8
DANIEL.SEDIN,1,20112012,VAN,1355,1077,251,6,5.7,4.6,0.0,-1.2,9.1,1.8
DAVID.CLARKSON,1,20072008,N.J,974,898,41,1,8.9,0.0,0.0,0.3,9.2,1.8
DAVID.PERRON,1,20172018,VGK,1247,1026,175,15,5.6,3.3,0.0,1.2,10.1,1.8
DAYMOND.LANGKOW,1,20112012,ARI,1103,924,99,65,6.4,0.0,1.5,1.2,9.1,1.8
DENNIS.WIDEMAN,2,20072008,BOS,2022,1448,296,227,3.1,1.9,3.1,1.4,9.4,1.8
DERICK.BRASSARD,1,20162017,OTT,1408,1165,205,6,8.9,0.0,0.0,0.5,9.4,1.8
DMITRIJ.JASKIN,1,20142015,STL,727,664,57,1,8.4,0.0,0.0,0.7,9.1,1.8
DMITRY.KULIKOV,2,20112012,FLA,1268,1035,165,61,6.5,1.7,1.3,-0.3,9.2,1.8
DMITRY.ORLOV,2,20172018,WSH,1897,1605,94,158,3.6,0.8,2.1,3.5,10.1,1.8
DREW.DOUGHTY,2,20152016,L.A,2298,1754,248,238,7.7,1.0,0.0,0.7,9.3,1.8
ERIC.STAAL,1,20172018,MIN,1461,1150,177,86,9.7,0.8,0.5,-0.8,10.1,1.8
GILBERT.BRULE,1,20092010,EDM,925,817,91,6,8.9,0.7,0.0,0.2,9.8,1.8
HENRIK.SEDIN,1,20082009,VAN,1577,1154,321,61,7.4,1.6,0.0,1.0,10.0,1.8
HENRIK.ZETTERBERG,1,20082009,DET,1509,1074,260,135,2.2,3.6,0.1,3.8,9.7,1.8
ILYA.KOVALCHUK,1,20092010,ATL,1081,786,270,6,5.1,2.4,0.0,2.0,9.5,1.8
JACK.EICHEL,1,20172018,BUF,1345,996,242,53,2.8,2.9,1.4,2.7,9.9,1.8
JAKE.GARDINER,2,20162017,TOR,1765,1502,208,27,7.5,1.0,0.4,0.4,9.3,1.8
JAMES.VAN RIEMSDYK,1,20102011,PHI,1084,972,99,5,7.6,0.5,0.0,1.2,9.2,1.8
JAMES.WISNIEWSKI,2,20072008,CHI,1139,921,104,93,6.9,0.0,1.4,1.3,9.6,1.8
JARED.SPURGEON,2,20172018,MIN,1497,1133,160,169,2.8,4.1,1.0,1.9,9.8,1.8
JAROSLAV.SPACEK,2,20092010,MTL,1610,1343,152,85,9.4,0.0,0.0,0.4,9.8,1.8
JASON.DEMERS,2,20102011,S.J,1456,1170,164,118,8.0,0.0,0.0,1.6,9.7,1.8
JASON.SPEZZA,1,20092010,OTT,1144,868,227,24,2.0,6.0,0.0,1.3,9.4,1.8
JEAN-GABRIEL.PAGEAU,1,20152016,OTT,1363,1096,66,167,7.2,0.0,0.0,1.7,9.0,1.8
JEFF.CARTER,1,20162017,L.A,1479,1086,233,121,8.1,1.5,1.1,-1.5,9.2,1.8
JEFF.SKINNER,1,20112012,CAR,1192,935,209,14,3.4,0.0,0.0,5.7,9.2,1.8
JOE.CORVO,2,20072008,OTT,897,696,182,3,4.7,2.0,0.0,2.6,9.3,1.8
JOE.THORNTON,1,20162017,S.J,1407,1102,254,2,6.5,1.2,0.0,1.7,9.4,1.8
JOHN-MICHAEL.LILES,2,20082009,COL,1614,1247,297,40,3.4,4.0,0.0,2.6,9.9,1.8
JOHN.KLINGBERG,2,20162017,DAL,1869,1551,243,17,5.5,3.6,0.0,0.3,9.5,1.8
JOHNNY.BOYCHUK,2,20092010,BOS,901,773,60,60,7.7,1.1,0.0,1.0,9.8,1.8
JONAS.BRODIN,2,20162017,MIN,1321,1090,103,122,5.1,1.5,2.1,0.8,9.6,1.8
JOSH.BAILEY,1,20162017,NYI,1507,1215,220,34,7.3,0.0,1.0,1.3,9.6,1.8
JOSH.JOORIS,1,20142015,CGY,870,743,40,67,6.7,0.6,1.0,1.1,9.3,1.8
JUSTIN.BRAUN,2,20152016,S.J,1644,1407,53,156,9.0,0.0,0.1,-0.1,9.0,1.8
JUSTIN.WILLIAMS,1,20122013,L.A,816,684,102,15,8.4,0.0,0.0,0.6,9.0,1.8
KEITH.TKACHUK,1,20082009,STL,1339,970,320,2,4.8,3.6,0.0,1.4,9.8,1.8
KEVIN.KLEIN,2,20142015,NYR,1202,1065,7,116,8.3,0.0,0.2,0.7,9.3,1.8
KEVIN.SHATTENKIRK,2,20112012,STL,1726,1321,230,149,4.4,4.7,0.4,-0.2,9.3,1.8
KEVIN.SHATTENKIRK,2,20132014,STL,1666,1322,269,56,4.4,4.1,0.0,0.8,9.3,1.8
KIM.JOHNSSON,2,20082009,MIN,1985,1561,132,259,4.9,1.5,1.8,1.6,9.8,1.8
KIMMO.TIMONEN,2,20092010,PHI,1873,1246,293,291,2.6,2.6,2.7,1.7,9.7,1.8
KRIS.LETANG,2,20072008,PIT,1136,901,162,49,2.5,3.8,0.0,2.8,9.2,1.8
KYLE.TURRIS,1,20142015,OTT,1575,1231,247,59,5.0,1.8,0.2,2.1,9.1,1.8
KYLE.TURRIS,1,20172018,NSH,1046,887,134,7,5.0,3.8,0.0,1.2,10.0,1.8
LOUI.ERIKSSON,1,20072008,DAL,967,842,103,5,7.4,1.3,0.0,0.4,9.2,1.8
LUKE.SCHENN,2,20092010,TOR,1333,1158,19,143,7.8,0.1,0.8,1.0,9.7,1.8
MARCO.STURM,1,20092010,BOS,1273,977,178,100,5.5,2.2,1.9,-0.3,9.3,1.8
MARK.PYSYK,2,20172018,FLA,1529,1338,8,169,7.4,0.0,0.0,2.4,9.9,1.8
MATHIEU.PERREAULT,1,20132014,ANA,957,781,146,2,8.2,0.0,0.0,1.1,9.3,1.8
MATT.COOKE,1,20092010,PIT,1148,870,74,198,7.8,0.7,1.9,-0.8,9.6,1.8
MATT.NISKANEN,2,20142015,WSH,1833,1523,85,184,5.3,1.8,3.0,-1.2,9.0,1.8
MATT.NISKANEN,2,20152016,WSH,2022,1549,196,233,5.3,3.5,0.0,0.5,9.4,1.8
MAX.PACIORETTY,1,20122013,MTL,726,575,131,5,8.3,0.6,0.0,0.4,9.3,1.8
MAX.PACIORETTY,1,20152016,MTL,1519,1119,231,93,5.8,1.5,1.8,-0.2,8.9,1.8
MICHAEL.FROLIK,1,20082009,FLA,1170,966,174,6,5.0,2.4,0.0,2.1,9.5,1.8
MIKAEL.BACKLUND,1,20162017,CGY,1426,1041,163,178,6.7,2.1,1.2,-0.4,9.5,1.8
MIKE.KNUBLE,1,20092010,WSH,1165,937,170,42,4.3,5.8,0.8,-1.2,9.7,1.8
